grid_name,teff,tinner,number,odep,mdot,vexp
half-iron,3400,1000,1,0.1,2.36e-06,13.8
half-iron,3400,1000,2,0.604,7.98e-06,9.61
half-iron,3400,1000,3,1.11,1.24e-05,8.86
half-iron,3400,1000,4,1.61,1.62e-05,8.47
half-iron,3400,1000,5,2.12,2.02e-05,8.25
half-iron,3400,1000,6,2.62,2.4e-05,8.22
half-iron,3400,1000,7,3.12,2.77e-05,8.05
half-iron,3400,1000,8,3.63,3.13e-05,7.92
half-iron,3400,1000,9,4.13,3.5e-05,7.81
half-iron,3400,1000,10,4.64,3.8e-05,7.74
half-iron,3400,1000,11,5.14,4.16e-05,7.65
half-iron,3400,1000,12,5.64,4.52e-05,7.57
half-iron,3400,1000,13,6.15,4.88e-05,7.49
half-iron,3400,1000,14,6.65,5.24e-05,7.42
half-iron,3400,1000,15,7.16,5.6e-05,7.36
half-iron,3400,1000,16,7.66,5.97e-05,7.3
half-iron,3400,1000,17,8.16,6.33e-05,7.25
half-iron,3400,1000,18,8.67,6.7e-05,7.19
half-iron,3400,1000,19,9.17,7.07e-05,7.14
half-iron,3400,1000,20,9.68,7.44e-05,7.1
half-iron,3400,1000,21,10.2,7.81e-05,7.05
half-iron,3400,1000,22,10.7,8.18e-05,7.01
half-iron,3400,1000,23,11.2,8.56e-05,6.96
half-iron,3400,1000,24,11.7,8.94e-05,6.92
half-iron,3400,1000,25,12.2,9.27e-05,6.95
half-iron,3400,1000,26,12.7,9.65e-05,6.91
half-iron,3400,1000,27,13.2,0.0001,6.88
half-iron,3400,1000,28,13.7,0.000104,6.84
half-iron,3400,1000,29,14.2,0.000108,6.8
half-iron,3400,1000,30,14.7,0.000112,6.77
half-iron,3400,1000,31,15.2,0.000116,6.74
half-iron,3400,1000,32,15.7,0.00012,6.7
half-iron,3400,1000,33,16.2,0.000124,6.67
half-iron,3400,1000,34,16.7,0.000128,6.64
half-iron,3400,1000,35,17.2,0.000132,6.61
half-iron,3400,1000,36,17.7,0.000136,6.58
half-iron,3400,1000,37,18.2,0.00014,6.55
